ID,ID_corrected,操作判断,操作前准备1,操作前准备2,操作前准备3,操作过程1,操作过程2,操作过程3.1,操作过程3.2,操作过程4,操作过程5.1,操作过程5.2,操作过程6,操作后处理,overall
1016-hzm-9,1016-hmz-09,5,5,5,5,2,5,0,5,1,10,15,15,8,8
311-wzh-02,0311-wzh-02-sj,5,5,5,5,5,5,0,0,0,10,15,14,7,7
1016-hzm-1,1016-hmz-01,5,5,5,5,2,5,0,5,1,10,15,15,7,8
311-wzh-09,0311-wzh-09-sj,5,5,5,5,5,5,0,0,0,9,14,13,7,7
1018-hzy-07,1018-hzy-07,5,0,5,0,5,5,0,0,0,10,10,5,5,6
1015-yxq-1,1015-yxq-01,5,5,3,4,2,5,1,5,1,1,15,15,7,5
1015-yxq-2,1015-yxq-02,5,5,5,5,2,5,1,5,1,1,15,15,7,5
1016-jzt2-1,1016-jzt2-01,5,5,5,5,5,5,1,4,5,10,15,11,7,7
1016-rxy2-7,1016-rxy-07,5,5,5,5,5,5,2,5,5,10,13,11,7,8
1017-jzt5-2,1017-jzt-12,5,5,5,5,5,5,2,5,5,10,15,11,8,8
1017-jzt5-8,1017-jzt-18,5,5,5,5,5,5,2,5,5,10,14,11,7,8
1016-rxy2-1,1016-rxy-01,5,5,5,5,5,5,2,5,5,10,15,11,9,8
1017-jzt5-4,1017-jzt-14,5,5,5,5,5,5,2,5,5,10,15,12,7,8
1015-lyl-10,,5,5,5,5,5,5,3,0,5,10,15,10,10,6
1019-ywp-07,1019-ywp-07,5,5,5,5,5,5,3,3,5,10,15,10,10,8
1014-sqz-07,1014-sqz-07,5,5,5,5,4,5,3,3,3,10,15,15,9,8
1015-dsc-05,,5,5,5,5,4,5,3,5,5,10,15,13,10,9
1018-yzl2-4,1018-yzl-04,5,4,3,0,4,5,3,3,0,10,15,15,3,5
1019-yzl-08,,5,4,5,5,5,4,4,5,5,10,15,13,10,9
311-lyl-05,0311-lyl-05-sj,5,5,5,5,5,5,4,5,5,10,15,15,9,9
1019-yzl-07,,5,4,5,5,5,4,4,5,5,10,15,13,10,9
311-lyl-09,0311-lyl-09-sj,5,5,5,5,5,5,4,5,5,10,15,15,7,5
1019-yzl-05,,5,4,5,5,5,4,4,5,5,10,15,13,10,9
1014-wll-08,1014-wll-08,5,5,5,4,5,5,5,5,5,10,14,12,8,8
1018-xxd3-6,1018-xxd-06,5,4,5,5,4,5,5,5,5,5,13,12,2,5
0312-lxh-3,0312-lxh-03,4,3,5,5,5,3,5,3,4,10,15,15,8,9
1014-dt3-05,1014-dt3-05,5,5,5,5,5,5,5,5,5,10,15,15,7,8
1015-rxy-04,,5,5,5,5,5,5,5,5,5,6,15,10,10,7
