ID,ID_corrected,操作判断,操作前准备1,操作前准备2,操作前准备3,操作过程1,操作过程2,操作过程3.1,操作过程3.2,操作过程4,操作过程5.1,操作过程5.2,操作过程6,操作后处理,overall
1017-lyl2-10,1017-lyl-10,5,5,5,5,5,5,5,0,5,8,15,15,10,8
1017-zmt2-5,1017-zmt-05,5,5,5,5,5,5,5,0,5,8,15,13,8,8
1015-lyl-07,,5,5,5,5,5,5,3,0,5,7,15,13,10,6
1018-lyl3-7,1018-lyl-07,5,4,5,5,4,5,4,0,5,10,15,15,8,8
1018-lyl3-8,1018-lyl-08,5,5,5,5,5,5,4,0,5,10,15,15,8,8
1017-lyl2-1,1017-lyl-01,5,5,5,5,5,5,3,0,5,8,15,15,10,8
1016-hwq-1,1016-hwq-01,5,5,5,5,5,5,4,0,5,10,15,10,7,8
1019-jyy-01,,5,4,0,5,5,4,5,0,0,10,15,13,10,8
0312-lxh-3,0312-lxh-03,4,3,5,5,5,3,5,3,4,10,15,15,8,9
1018-lyl3-10,1018-lyl-10,5,4,5,5,4,5,4,0,5,10,15,15,8,8
1017-lyl2-2,1017-lyl-02,5,5,5,5,5,5,5,0,5,8,15,12,10,8
1018-hzy-10,1018-hzy-10,5,0,5,0,5,5,0,0,0,10,10,5,5,5
1018-hzy-07,1018-hzy-07,5,0,5,0,5,5,0,0,0,10,10,5,5,6
1015-lyl-10,,5,5,5,5,5,5,3,0,5,10,15,10,10,6
311-wsx-09,0311-wsx-09-sj,5,5,5,5,5,5,5,0,0,5,14,14,7,7
1015-jyy-06,,5,4,5,5,5,5,5,0,5,10,15,12,0,8
311-yzl-02,0311-yzl-02-sj,5,5,5,5,5,5,1,0,0,9,13,11,7,7
1015-lyl-04,,5,5,5,5,5,5,3,0,5,10,15,10,10,6
1018-lh-08,,5,3,4,5,5,5,5,0,5,10,15,12,10,10
1016-hwq-4,1016-hwq-04,5,5,5,5,5,5,5,0,5,9,15,10,7,9
1015-lyl-08,,5,5,5,5,5,5,3,0,5,7,15,13,10,6
1017-lyl2-9,1017-lyl-09,5,5,5,5,5,5,5,0,5,8,15,15,10,8
1015-xxd-09,,5,5,5,5,5,5,3,0,5,5,15,12,5,7
311-wzh-09,0311-wzh-09-sj,5,5,5,5,5,5,0,0,0,9,14,13,7,7
1015-xxd-04,,5,5,5,5,5,5,3,0,5,5,5,12,0,5
1017-lyl2-7,1017-lyl-07,5,5,5,5,5,5,5,0,5,8,15,12,10,8
311-wzh-05,0311-wzh-05-sj,5,5,5,5,5,5,0,0,0,8,14,13,6,7
1018-lh-09,,5,3,4,5,5,5,5,0,5,5,15,15,10,7
1018-lyl3-9,1018-lyl-09,5,4,5,5,4,5,4,0,5,10,15,15,8,8
311-wzh-10,0311-wzh-10-sj,5,5,5,5,5,5,0,0,0,9,14,13,7,7
1015-lyl-06,,5,5,5,5,5,5,3,0,5,10,15,10,10,6
1015-jyy-08,,5,4,5,5,5,5,5,0,5,7,15,12,0,7
1017-zmt2-7,1017-zmt-07,5,5,5,5,5,5,5,0,5,10,15,13,8,8
1015-jyy-07,,5,4,5,5,5,5,5,0,5,10,15,10,0,7
1018-hzy-05,,5,4,4,5,5,5,5,0,0,10,15,15,10,7
1015-jyy-05,,5,4,5,5,5,5,5,0,5,7,15,12,0,7
1018-lyl3-6,1018-lyl-06,5,4,5,5,4,5,4,0,5,10,15,15,8,8
311-wzh-04,0311-wzh-04-sj,5,5,5,5,5,5,0,0,0,10,14,13,7,7
1018-tfy3-05,1018-tfy-05,5,4,4,5,5,5,5,0,0,10,15,15,10,7
1015-lyl-02,,5,5,5,5,4,5,3,0,5,7,15,10,10,6
1017-lyl2-3,1017-lyl-03,5,5,5,5,5,5,5,0,5,8,15,12,10,8
311-wzh-07,0311-wzh-07-sj,5,5,5,5,5,5,0,0,0,9,14,12,6,7
1019-jyy-06,,5,4,0,5,5,4,5,0,0,10,15,13,10,8
311-wzh-02,0311-wzh-02-sj,5,5,5,5,5,5,0,0,0,10,15,14,7,7
1017-lyl2-8,1017-lyl-08,5,5,5,5,5,5,5,0,5,8,15,12,10,8
1015-jyy-10,,5,4,5,5,5,5,5,0,5,0,15,12,0,6
1016-hwq-2,1016-hwq-02,5,5,5,5,5,5,5,0,5,10,15,10,7,8
1018-hzy-09,1018-hzy-09,5,0,5,0,5,5,0,0,0,10,10,5,5,5
1015-jyy-02,,5,4,5,5,5,5,5,0,5,10,15,14,0,8
1016-hwq-3,1016-hwq-03,5,5,5,5,5,5,5,0,5,9,15,10,7,8
1015-jyy-04,,5,4,5,5,5,5,5,0,5,10,15,14,0,8
1015-jyy-01,,5,4,5,5,5,5,5,0,5,10,15,14,0,8
311-wsx-07,0311-wsx-07-sj,5,5,5,5,5,5,5,0,0,5,14,14,7,7
311-wzh-08,0311-wzh-08-sj,5,5,5,5,5,5,0,0,0,9,14,13,7,7
1015-lyl-05,,5,5,5,5,5,5,3,0,5,10,15,10,10,6
1018-hzy-08,1018-hzy-08,5,0,5,0,5,5,0,0,0,10,12,5,5,6
1016-xxd2-7,1016-xxd-07,5,5,5,5,5,5,2,1,5,10,15,11,6,5
1018-xxd3-1,1018-xxd-01,5,4,4,4,4,5,1,1,0,10,15,12,3,4
1016-xxd2-8,1016-xxd-08,5,5,5,5,5,5,2,1,5,10,15,12,7,6
1016-xxd2-6,1016-xxd-06,5,5,5,5,5,5,3,2,5,10,15,12,8,8
0310-hch-06,,5,5,5,5,5,5,3,2,5,7,15,15,10,8
0310-cwk-03,,5,5,5,5,5,5,5,2,5,10,15,15,10,9
0310-dsc-02,,5,5,5,5,5,5,5,2,5,10,15,15,10,9
0310-dsc-01,,5,5,5,5,5,5,5,2,5,10,15,15,10,9
0310-dsc-09,,5,5,5,5,5,5,5,2,5,10,15,15,10,9
1018-xxd3-4,1018-xxd-04,5,5,5,5,4,5,2,3,0,10,13,12,2,3
1015-zch-02,,5,5,5,5,5,5,3,3,5,10,15,13,10,8
0312-zwl-7,0312-zwl-07,4,3,5,5,5,3,5,3,0,6,15,15,8,7
1018-xxd3-2,1018-xxd-02,5,4,5,2,4,5,5,3,0,10,15,12,3,4
1014-sqz-07,1014-sqz-07,5,5,5,5,4,5,3,3,3,10,15,15,9,8
1018-xxd3-3,1018-xxd-03,5,5,5,5,4,5,3,3,0,10,12,12,1,3
0310-hch-10,,5,5,5,5,5,5,3,3,5,10,15,15,10,8
0310-hch-03,,5,5,5,5,5,5,3,3,5,10,15,15,10,8
1019-ywp-08,1019-ywp-08,5,5,5,5,5,5,3,3,5,10,15,10,10,8
1014-dt2-01,1014-dt2-01,5,5,5,5,5,5,5,3,5,8,15,15,8,8
0310-hch-02,,5,5,5,5,5,5,3,3,5,10,15,15,10,8
1019-ywp-10,1019-ywp-10,5,5,5,5,5,5,3,3,0,10,15,10,10,8
1014-sqz-03,,5,5,5,4,5,5,3,3,3,10,15,12,7,8
1014-sqz-09,1014-sqz-09,5,5,5,5,3,5,3,3,3,10,15,15,8,7
0310-hch-05,,5,5,5,5,5,5,3,3,5,10,15,15,10,8
1014-dt2-02,1014-dt2-02,5,5,5,5,5,5,5,3,5,8,15,15,9,8
0312-lxh-9,0312-lxh-09,4,5,5,5,5,3,5,3,4,10,15,15,8,8
1018-yzl2-2,1018-yzl-02,5,4,3,0,4,5,3,3,0,10,15,15,3,5
1014-dt2-03,1014-dt2-03,5,5,3,5,5,5,5,3,5,8,15,15,8,8
0310-hch-07,,5,3,5,5,5,5,3,3,5,2,15,15,10,8
1018-yzl2-4,1018-yzl-04,5,4,3,0,4,5,3,3,0,10,15,15,3,5
0310-hch-09,,5,5,5,5,5,5,3,3,5,2,15,15,10,8
1014-sqz-08,1014-sqz-08,5,5,5,5,3,5,3,3,3,10,15,15,8,7
1018-yzl2-3,1018-yzl-03,5,4,3,0,4,5,3,3,0,10,15,15,3,5
1018-xxd3-8,1018-xxd-08,5,4,5,5,4,5,3,3,5,10,15,13,2,4
0312-xxd-6,0312-xxd-06,5,3,5,5,5,3,3,3,0,10,15,15,8,8
1018-yzl2-1,1018-yzl-01,5,3,4,4,3,5,3,3,0,10,15,15,3,6
1014-sqz-05,,5,5,5,4,5,5,3,3,3,10,15,12,8,8
1015-ypp-07,,5,5,5,5,5,5,3,3,5,10,15,15,10,10
1019-ywp-09,1019-ywp-09,5,5,5,5,5,5,3,3,5,10,15,10,10,8
311-yzl-01,0311-yzl-01-sj,5,5,5,5,5,5,5,3,0,10,14,11,8,8
1014-hmz-02,,5,4,4,5,3,5,5,4,5,7,15,15,7,8
1014-msp-05,,5,5,5,5,4,5,3,4,5,10,15,15,9,8
1018-lyl3-2,1018-lyl-02,5,5,5,5,4,5,4,4,5,10,15,15,8,9
1014-msp-06,1014-msp-06,5,5,3,5,3,5,3,4,5,10,15,15,9,8
1018-lyl3-5,1018-lyl-05,5,5,5,5,4,5,4,4,5,10,15,15,8,9
1018-lyl3-4,1018-lyl-04,5,5,5,5,4,5,4,4,5,10,15,15,8,9
1016-jzt2-1,1016-jzt2-01,5,5,5,5,5,5,1,4,5,10,15,11,7,7
1017-yzl-1,1017-yzl-01,5,5,5,5,5,5,2,4,0,10,15,11,7,8
1016-xxd2-10,1016-xxd-10,5,5,5,5,5,5,1,4,5,10,14,10,6,5
1014-hmz-04,,5,4,3,5,2,5,4,4,5,7,15,12,7,8
1016-jzt2-2,1016-jzt2-02,5,5,5,5,5,5,2,4,0,10,15,11,7,7
1017-jzt4-4,1017-jzt-04,5,5,5,5,5,5,5,4,5,10,15,15,10,8
1014-sly-01,,5,5,5,5,4,5,5,4,4,7,15,12,9,8
1016-jzt2-3,1016-jzt2-03,5,5,5,5,5,5,3,4,5,10,15,13,6,6
1017-jzt4-5,1017-jzt-05,5,5,5,5,5,5,5,4,5,10,15,15,10,8
1019-zyt-07,1019-zyt-07,5,5,5,5,5,5,4,4,5,10,15,12,10,9
1016-jzt3-4,1016-jzt3-04,5,5,5,5,5,5,2,4,0,8,15,13,7,6
1019-zyt-06,1019-zyt-06,5,5,5,5,5,5,4,4,5,10,15,12,10,9
1014-sly-03,,5,5,5,5,4,5,5,4,4,7,15,15,9,8
1018-lyl3-3,1018-lyl-03,5,5,5,5,4,5,4,4,5,10,15,15,8,9
1014-hmz-03,,5,4,4,5,3,5,5,4,5,7,15,15,7,8
1014-sly-02,,5,5,5,5,4,5,5,4,4,7,15,15,9,8
1014-msp-08,1014-msp-08,5,5,3,5,4,5,3,4,5,10,15,15,9,8
1014-msp-10,1014-msp-10,5,5,3,5,4,5,3,4,5,10,15,15,9,8
1014-dt3-09,1014-dt3-09,5,5,5,5,5,5,5,4,5,10,15,15,8,9
1014-msp-02,,5,5,5,5,4,5,3,4,5,10,15,15,9,8
1017-yzl-2,1017-yzl-02,5,5,5,5,5,5,2,4,0,10,15,11,7,8
1019-zyt-08,1019-zyt-08,5,5,5,5,5,5,4,4,5,5,15,12,10,8
311-yzl-04,0311-yzl-04-sj,5,5,5,5,5,5,5,5,0,8,13,10,6,6
1019-hwq-07,,5,5,5,4,5,4,5,5,0,10,15,15,10,9
0312-gyq-06,0312-gyx-06,5,3,5,5,5,3,5,5,3,10,15,15,9,9
1017-hmz3-2,1017-hmz-02,5,5,3,3,1,5,5,5,5,8,15,11,6,5
0310-lxw-02,,5,5,5,5,5,5,5,5,5,10,15,10,10,8
1015-zmt-8,1015-zmt-08,5,5,5,5,5,5,5,5,5,10,15,12,10,9
1017-jzt4-7,1017-jzt-07,5,5,5,5,5,5,2,5,5,5,15,12,5,5
0312-zmt-8,0312-zmt-08,5,3,5,5,5,3,3,5,4,10,15,15,9,9
0312-gyq-07,0312-gyx-07,5,3,5,5,5,3,5,5,0,10,15,15,8,8
311-sly-07,0311-sly-07-sj,5,5,5,5,5,5,5,5,5,9,14,15,8,8
1016-tfy2-10,1016-tfy-10,5,5,5,5,5,5,5,5,5,10,15,15,10,10
0310-cwk-02,,5,5,5,5,5,5,5,5,5,8,15,15,10,9
1018-sly-08,1018-sly-08,5,5,5,5,5,5,5,5,5,10,15,15,9,9
1016-jzt2-4,1016-jzt2-04,5,5,5,5,5,5,5,5,5,8,15,11,7,8
1015-sfk-06,,5,5,5,5,5,5,5,5,5,5,13,15,10,8
0310-cwk-07,,5,5,5,5,5,5,5,5,5,8,15,15,10,9
0310-dt-10,,5,5,5,5,5,5,5,5,5,10,15,13,10,9
1017-hmz3-3,1017-hmz-03,5,5,3,3,1,5,5,5,5,10,15,11,6,6
1019-xxd4-02,1019-xxd-02,5,5,5,5,5,5,5,5,0,10,15,15,10,7
1018-tfy3-01,1018-tfy-01,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1018-rxy-09,1018-rxy-09,5,5,5,5,5,5,5,5,5,10,15,15,8,9
1017-wtb-6,1017-wtb-06,5,3,5,5,4,5,3,5,5,10,15,12,2,5
1017-jzt5-9,1017-jzt-19,5,5,5,5,5,5,2,5,5,10,15,13,7,8
1019-msp-06,1019-msp-06,5,5,5,5,5,5,5,5,5,8,15,15,10,9
0310-chr-06,,5,5,5,5,5,5,5,5,5,7,15,15,10,9
1018-ypp2-8,1018-ypp-08,5,4,5,5,3,5,5,5,5,5,15,15,7,5
1015-rxy-03,,5,5,5,5,5,5,5,5,5,8,15,10,10,8
0312-gyq-04,0312-gyx-04,5,3,5,5,5,3,5,5,0,10,15,15,8,8
1018-sfk2-10,1018-sfk-10,5,5,5,5,5,5,5,5,5,10,12,15,10,10
1015-dsc-09,,5,5,5,5,4,5,3,5,5,10,15,13,10,9
0312-sxy-3,0312-sxy-03,3,3,5,5,5,3,5,5,3,10,15,15,8,9
1015-tfy-08,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1017-ywp-5,1017-ywp-05,5,5,5,5,5,5,5,5,5,10,15,15,10,10
311-sly-02,0311-sly-02-sj,5,5,5,5,5,5,5,5,5,8,14,15,7,7
0312-xxd-9,0312-xxd-09,5,3,5,5,5,3,3,5,0,10,15,15,8,8
311-lyl-08,0311-lyl-08-sj,5,5,5,5,5,5,4,5,5,10,15,15,7,5
1017-yzl-6,1017-yzl-06,5,5,5,5,5,5,2,5,0,10,15,12,6,8
1018-tfy3-02,1018-tfy-02,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1014-dt3-05,1014-dt3-05,5,5,5,5,5,5,5,5,5,10,15,15,7,8
1014-msp-04,,5,5,5,5,5,5,5,5,5,10,15,15,7,9
311-yzl-03,0311-yzl-03-sj,5,5,5,5,5,5,5,5,0,8,13,13,7,8
1015-bjx-06,,5,5,5,5,5,5,5,5,5,7,15,15,10,9
1017-ljt-8,1017-ljt-08,5,5,5,5,5,5,5,5,5,10,15,10,8,8
1014-dt1-10,1014-dt1-10,5,5,5,5,5,5,4,5,5,10,15,15,8,9
1015-yxq-7,1015-yxq-07,5,5,5,5,2,5,2,5,1,7,15,15,7,8
1014-dt1-07,1014-dt1-07,5,5,5,5,5,5,4,5,5,10,15,15,7,8
0310-dsc-10,,5,5,5,5,5,5,5,5,5,10,15,15,10,9
1018-rxy3-04,1018-rxy-04,5,5,5,5,5,5,5,5,5,10,15,12,10,10
0310-cwk-09,,5,5,5,5,5,5,5,5,5,10,15,15,10,9
1018-sly-09,1018-sly-09,5,5,5,5,5,5,5,5,5,10,15,15,9,9
