ID,ID_corrected,操作判断,操作前准备1,操作前准备2,操作前准备3,操作过程1,操作过程2,操作过程3.1,操作过程3.2,操作过程4,操作过程5.1,操作过程5.2,操作过程6,操作后处理,overall
1018-hzy-07,1018-hzy-07,5,0,5,0,5,5,0,0,0,10,10,5,5,6
0312-jzb-9,0312-jzb-09,4,3,5,5,5,3,5,5,4,10,15,8,7,6
0312-jzb-2,0312-jzb-02,4,5,5,5,5,3,5,5,4,10,15,8,8,7
1015-rxy-01,,5,5,5,5,5,5,5,5,5,8,15,10,10,8
1016-hwq-1,1016-hwq-01,5,5,5,5,5,5,4,0,5,10,15,10,7,8
1016-zwl2-9,1016-zwl-09,5,5,5,5,2,5,5,5,5,10,15,10,6,5
1015-rxy-02,,5,5,5,5,5,5,5,5,5,5,15,10,10,7
1016-zwl2-5,1016-zwl-05,5,5,5,5,1,5,5,5,5,10,15,10,6,5
311-jzt-02,0311-jzt-02-sj,5,5,5,5,5,5,5,5,5,10,13,11,6,6
1017-jzt5-7,1017-jzt-17,5,5,5,5,5,5,2,5,5,10,13,11,7,8
1017-jzt5-8,1017-jzt-18,5,5,5,5,5,5,2,5,5,10,14,11,7,8
311-jzt-01,0311-jzt-01-sj,5,5,5,5,5,5,5,5,5,10,13,11,7,6
1017-hmz3-9,1017-hmz-09,5,5,3,3,1,5,5,5,5,10,15,11,6,6
1015-dsc-06,,5,5,5,5,4,5,3,5,5,10,15,12,10,8
1014-wll-10,1014-wll-10,5,5,5,4,5,5,5,5,5,10,15,12,8,8
1016-zwl2-3,1016-zwl-03,5,5,5,5,1,5,5,5,5,10,15,12,7,4
1014-sqz-03,,5,5,5,4,5,5,3,3,3,10,15,12,7,8
1018-xxd3-4,1018-xxd-04,5,5,5,5,4,5,2,3,0,10,13,12,2,3
1015-dsc-03,,5,5,5,5,4,5,3,5,5,10,15,13,10,9
1017-zmt2-8,1017-zmt-08,5,5,5,5,5,5,5,5,5,10,15,13,8,9
1017-zmt2-10,1017-zmt-10,5,5,5,5,5,5,5,5,5,10,15,13,8,9
0310-lym-05,,5,5,5,5,5,5,5,5,5,10,15,13,10,9
1016-jzt2-9,1016-jzt2-09,5,5,5,5,5,5,5,5,5,8,15,13,8,7
311-wsx-07,0311-wsx-07-sj,5,5,5,5,5,5,5,0,0,5,14,14,7,7
1019-yzl-04,,5,4,5,5,5,4,4,5,5,10,15,14,10,9
1019-yzl-09,,5,4,5,5,5,4,4,5,5,10,15,14,10,8
311-wsx-06,0311-wsx-06-sj,5,5,5,5,5,5,5,5,0,5,14,14,8,7
311-wsx-04,0311-wsx-04-sj,5,5,5,5,5,5,5,5,0,5,13,14,8,7
0312-lxh-9,0312-lxh-09,4,5,5,5,5,3,5,3,4,10,15,15,8,8
1014-sqz-09,1014-sqz-09,5,5,5,5,3,5,3,3,3,10,15,15,8,7
1019-hwq-16,1019-hwq-16,5,5,5,5,5,5,5,5,0,5,15,15,10,9
0310-chr-05,,5,5,5,5,5,5,5,5,5,7,15,15,10,9
0310-dsc-05,,5,5,5,5,5,5,5,5,5,10,15,15,10,9
