ID,ID_corrected,操作判断,操作前准备1,操作前准备2,操作前准备3,操作过程1,操作过程2,操作过程3.1,操作过程3.2,操作过程4,操作过程5.1,操作过程5.2,操作过程6,操作后处理,overall
1018-hzy-08,1018-hzy-08,5,0,5,0,5,5,0,0,0,10,12,5,5,6
1018-hzy-06,1018-hzy-06,5,0,5,0,5,5,0,0,0,10,12,5,5,5
1018-hzy-09,1018-hzy-09,5,0,5,0,5,5,0,0,0,10,10,5,5,5
0312-jzb-8,0312-jzb-08,5,3,5,5,5,3,3,5,4,10,15,8,7,6
0312-jzb-3,0312-jzb-03,4,3,5,5,5,3,5,3,4,10,15,8,7,6
0312-jzb-10,,4,5,5,5,5,3,5,5,4,10,15,8,8,6
0312-jzb-5,0312-jzb-05,5,3,5,5,5,3,5,5,4,10,15,8,7,6
0312-jzb-4,0312-jzb-04,5,3,5,5,5,4,5,5,4,10,12,8,7,6
0312-jzb-7,0312-jzb-07,5,3,5,5,5,3,5,5,3,10,15,8,8,6
1016-jzt-4,1016-jzt-04,5,5,3,3,5,5,5,5,5,10,15,10,8,6
1019-xxd-09,1019-xxd-09,5,5,5,5,5,5,5,5,5,10,15,10,10,9
1016-jzt-1,1016-jzt-01,5,5,3,3,4,5,3,5,5,8,15,10,5,5
1017-ljt-6,1017-ljt-06,5,5,5,5,5,5,5,5,5,10,15,10,8,8
1015-rxy-05,,5,5,5,5,5,5,5,5,5,5,15,10,10,7
1019-xxd-07,1019-xxd-07,5,5,5,5,5,5,5,5,5,10,15,10,10,9
1017-ljt-1,1017-ljt-01,5,5,5,5,5,5,5,5,5,10,15,10,8,8
1017-sly2-3,1017-sly-03,5,5,5,5,5,5,5,5,5,9,15,10,8,8
1016-xxd2-5,1016-xxd-05,5,5,5,5,5,5,5,5,5,10,15,10,8,7
1016-dsc-8,1016-dsc-08,5,5,5,5,2,5,5,5,5,0,15,10,6,5
1017-sly2-5,1017-sly-05,5,5,5,5,5,5,5,5,5,10,15,10,8,8
311-yzl-04,0311-yzl-04-sj,5,5,5,5,5,5,5,5,0,8,13,10,6,6
1016-jzt-3,1016-jzt-03,5,5,3,3,5,5,3,5,5,10,15,10,7,6
1017-ljt-9,1017-ljt-09,5,5,5,5,5,5,5,5,5,10,15,10,8,8
1017-sly2-2,1017-sly-02,5,5,5,5,5,5,5,5,5,5,15,10,8,5
1016-zwl2-6,1016-zwl-06,5,5,5,5,2,5,5,5,5,10,15,10,6,5
1019-ywp-06,1019-ywp-06,5,5,5,5,5,5,3,3,5,10,15,10,10,8
1015-lyl-03,,5,5,5,5,5,5,3,0,5,10,15,10,10,6
1017-ljt-3,1017-ljt-03,5,5,5,5,5,5,5,5,5,10,15,10,8,8
1016-xxd2-2,1016-xxd-02,5,5,5,5,5,5,5,1,5,8,15,10,8,5
0310-lxw-07,,5,5,5,5,5,5,5,5,5,10,15,10,10,8
1016-hwq-4,1016-hwq-04,5,5,5,5,5,5,5,0,5,9,15,10,7,9
1016-zwl2-10,1016-zwl-10,5,5,5,5,2,5,5,5,5,10,15,10,6,5
1016-dsc-7,1016-dsc-07,5,5,5,5,2,5,5,5,5,0,15,10,6,5
1016-jzt3-1,1016-jzt3-01,5,5,5,5,5,5,5,5,5,0,15,10,6,6
1019-xxd-10,1019-xxd-10,5,5,5,5,5,5,5,5,5,10,15,10,10,9
1016-jzt-2,1016-jzt-02,5,5,3,3,5,5,3,5,0,8,15,10,5,5
1016-dsc-5,1016-dsc-05,5,5,5,5,1,5,5,5,5,0,15,10,6,5
0310-lxw-03,,5,5,5,5,5,5,5,5,5,10,15,10,10,8
1017-wtb-2,1017-wtb-02,5,3,5,5,4,5,5,5,5,3,15,10,2,4
1017-ljt-5,1017-ljt-05,5,5,5,5,5,5,5,5,5,10,15,10,8,8
0310-lxw-09,,5,5,5,5,5,5,5,5,5,10,15,10,10,8
1016-xxd2-4,1016-xxd-04,5,5,5,5,5,5,5,0,5,8,15,10,6,5
1015-lyl-05,,5,5,5,5,5,5,3,0,5,10,15,10,10,6
1016-dsc-10,1016-dsc-10,5,5,5,5,2,5,5,5,5,0,15,10,6,5
1015-lyl-04,,5,5,5,5,5,5,3,0,5,10,15,10,10,6
1017-ljt-7,1017-ljt-07,5,5,5,5,5,5,5,5,5,10,15,10,8,8
1015-lyl-02,,5,5,5,5,4,5,3,0,5,7,15,10,10,6
1017-ljt-2,1017-ljt-02,5,5,5,5,5,5,5,5,5,10,15,10,8,8
0310-lxw-08,,5,5,5,5,5,5,5,5,5,10,15,10,10,8
1017-wtb-1,1017-wtb-01,5,3,5,5,4,5,5,5,5,3,15,10,2,5
